date,value
2022-04-01,0
2022-04-02,0
2022-04-03,0
2022-04-04,3
2022-04-05,17
2022-04-06,11
2022-04-07,15
2022-04-08,13
2022-04-09,5
2022-04-10,6
2022-04-11,10
2022-04-12,12
2022-04-13,7
2022-04-14,1
2022-04-15,2
2022-04-16,3
2022-04-17,0
2022-04-18,0
2022-04-19,0
2022-04-20,8
2022-04-21,0
2022-04-22,0
2022-04-23,0
2022-04-24,0
2022-04-25,0
2022-04-26,0
2022-04-27,0
2022-04-28,0
2022-04-29,0
2022-04-30,0
